Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"H3LIS100DLTR","Accelerometer","AC1","H3LIS100DLTR","H3LIS100DLTR","1","C2655068"
"10u0805","Capacitor SMD 0805","C1","CAP_0805","CAP_0805","1","C105506"
"100n 0805","Capacitor SMD 0805","C2, C3, C6, C7, C9, C10, C11","CAP_0805","CAP_0805","7","C519981"
"10uF","Capacitor SMD 0805","C4","CAP_0805","CAP_0805","1","C105506"
"1uF","Capacitor SMD 0805","C5, C15","CAP_0805","CAP_0805","2","C77080"
"100nF C0603","Capacitor SMD 0603","C8","CAP_0603","CAP_0603","1","C519981"
"100n","Capacitor SMD 0805","C12","CAP_0805","CAP_0805","1","C519981"
"0.1uF","Capacitor SMD 0805","C13","CAP_0805","CAP_0805","1","C519981"
"1nF","Capacitor SMD 0805","C14","CAP_0805","CAP_0805","1","C77448"
"GREEN","LED 0805 GREEN SMD","D1, D3, D4, D6","LED_0805_GREEN","LED_0805_GREEN","4","C113551"
"1N5819HW-7-F","Diode","D2, D7","SOD3716X125N","1N5819HW-7-F","2","C82544"
"ACS712ELCTR-05B-T","Integrated Circuit","IC1","SOIC127P600X175-8N","ACS712ELCTR-05B-T","1","C44471"
"USBLC6-2SC6","Integrated Circuit","IC2","SOT95P280X145-6N","USBLC6-2SC6","1","C7519"
"AP7331-WG-7","Integrated Circuit","IC3","SOT95P285X145-5N","AP7331-WG-7","1","C212322"
"S8B-PH-K-S(LF)(SN)","ç©´ã‚’é€šã‚‹ã‚³ãƒã‚¯ã‚¿ãƒ˜ãƒƒãƒ€ãƒ¼ã€å³è§’åº","J5","DW08R","S8B-PH-K-S(LF)(SN)","1","C157915"
"S6B-XH-A_LF__SN_","Connector","J6","SHDRRA6W64P0X250_1X6_1740X1150X610P","S6B-XH-A_LF__SN_","1","C157915"
"629105150521","USB Connector Type Micro B 2.0 SMD","J13","629105150521","629105150521","1","C132560"
"L0603 27nH> 500 ohm","Inductor SMD 0603","L1","IND_0603","IND_0603","1","C280267"
"PDTC114EU,115","Transistor BJT NPN","Q1","PDTC114EU115","PDTC114EU,115","1","C135830"
"IRLR8726TRPBF","Very Low RDS(on) at 4.5V VGS","Q, Q2","TO-252","IRLR8726TRPBF","2","C81137"
"4.7kOhm(0805)","Resistor SMD 0805","R1, R2, R7, R8, R11, R12, R13","RES_0805","RES_0805","7","C176200"
"33","Resistor SMD 0805","R3, R4","RES_0805","RES_0805","2","C881000"
"27","Resistor SMD 0805","R5, R6","RES_0805","RES_0805","2","C186439"
"820ohm 0805","Resistor SMD 0805","R9","RES_0805","RES_0805","1","C352174"
"R0603 10 ohm","Resistor SMD 0603","R10","RES_0603","RES_0603","1","C881183"
"4.7kOhm","Resistor SMD 0805","R14","RES_0805","RES_0805","1","C176200"
"100ohm 0805","Resistor SMD 0805","R15, R18","RES_0805","RES_0805","2","C269723"
"120ohm 0805","Resistor SMD 0805","R16","RES_0805","RES_0805","1",","C149652""
"470ohm","Resistor SMD 0805","R19, R20","RES_0805","RES_0805","2","C3152203"
"1kohm","Resistor SMD 0805","R26","RES_0805","RES_0805","1","C408924"
"3kohm","Resistor SMD 0805","R24","RES_0805","RES_0805","1"," C416148"
"220k","Resistor SMD 0805","R21","RES_0805","RES_0805","1","C17556"
"27k","Resistor SMD 0805","R22","RES_0805","RES_0805","1","C351586"
"10k","Resistor SMD 0805","R23","RES_0805","RES_0805","1","C100047"
"3.3k","Resistor SMD 0805","R25","RES_0805","RES_0805","1","C104228"
"BMI088","Inertial Measurement Unit IMU 6-Axis LGA","U4, U5","BMI088","BMI088","2","C194919"
"BMP388","P-Sensor SPI I2C 1, 25 Bar SMD","U6","PQFN50P200X200X80-10N","BMP388","1","C779278"
